time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
896,17.62888536482282,15.035928405981917,13.853098994115113,16.63088222464177,17.58069597086937,0.8817550230494386,0.8753713762009596,2.548644893165625,3.7689264180329887,0.9592448400008959,0.00023391893734957465
897,17.500182360161837,14.946511972140462,13.730838622593676,16.53773144518655,17.496308857915402,0.9195287782332443,0.9156070741866531,2.5580456543595953,3.8382933743887957,0.9754592409284327,0.00022765087714239222
898,17.459622912451845,14.868963049353127,13.62514994102656,16.45533757903021,17.42076450316529,0.8737884365406728,0.8687836568527952,2.5536261202886164,3.8347267637828653,0.9742256039208738,0.00023450228644880143
899,17.358092868021842,14.798427322489482,13.53209220127474,16.38211449182065,17.353376014036378,0.9061651172667933,0.9043832638569287,2.5588692114256064,3.8470048330660074,0.9769940684969156,0.00022838629334509376
900,17.208728698389113,14.68202191700852,13.403398545146478,16.264278840299585,17.238545235549797,0.8897354733286325,0.8843068349447943,2.5586493181534147,3.849057473901691,0.9771459554554708,0.00023662215132308357
901,17.293648880906044,14.627607552729764,13.352527173576341,16.213492591726403,17.18755675297111,0.9107431039534534,0.9056906451834188,2.5653202703104756,3.8158002247248506,0.9693140241300833,0.000229697613327367
902,17.59213212106363,14.695691360399552,13.440146487555634,16.288670585705514,17.258753601821752,0.8982256755518333,0.8938510213702724,2.5694489628705206,3.7829965204366176,0.9616261352244295,0.0002354121613192818
903,17.513765581231027,14.710029347636306,13.479819602863921,16.313338630435496,17.278780136197152,0.91688664591531,0.9098794908307125,2.5787113552384144,3.7598576604799874,0.9563020812062498,0.0002283002785533177
904,17.40981635891319,14.695807689321388,13.495815436758178,16.309235352632815,17.26841836163135,0.8868531124545913,0.8807564924054947,2.578373760997584,3.727710685443964,0.9485678286823626,0.00023493710386184884
905,17.60252437592153,14.764731381986953,13.596505327922344,16.390331025301677,17.34353635481973,0.9184471684898108,0.9112623621230954,2.5885945935427443,3.712027102113266,0.9450517179638656,0.00022708973822561403
906,17.524558137373248,14.779737119591053,13.64128030441261,16.414462146012063,17.3612512901518,0.8695545809989403,0.8637503698707736,2.5836839922265744,3.679453197307014,0.937128355848053,0.000234350341522694
907,17.622074515809015,14.79975370332954,13.687485180180612,16.44436674400767,17.386160648030096,0.9162550519151471,0.9103541267824511,2.593843180259749,3.6693414882344686,0.9349311935163453,0.00022760549064519404
